Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1618.9906476972021
FDW14,OUT017,1374.3288334847653
NCN55,OUT010,573.3876174940793
FDQ58,OUT017,2449.9691797658775
FDY38,OUT027,5853.4485979701385
FDH56,OUT046,1924.82461536001
FDL48,OUT018,745.1045932953209
FDC48,OUT027,1996.6226913860307
FDN33,OUT045,1575.252462219113
FDA36,OUT017,3154.8318283207177
FDT44,OUT017,1863.5540064181748
FDQ56,OUT045,1409.75171421578
NCC54,OUT019,573.6508686023625
FDU11,OUT049,2031.5431004303693
DRL59,OUT013,903.6915911693079
FDM24,OUT049,2344.9057075739915
FDI57,OUT045,2941.7827000265393
DRC12,OUT018,2885.7051932450368
NCM42,OUT027,2913.29460466204
FDA46,OUT010,509.29963120059546
FDA31,OUT013,2720.6443491208283
NCJ31,OUT035,3748.257876934234
FDG52,OUT046,794.2500239091315
NCL19,OUT019,281.6446944970847
FDS10,OUT035,2951.4526740352703
FDX22,OUT010,562.809405408227
NCF19,OUT035,760.4159147176692
NCE06,OUT046,2471.4614414540893
DRC27,OUT046,3943.276859014569
FDE21,OUT035,2027.6170701917615
NCR42,OUT019,131.3137370995446
FDX51,OUT018,2925.8335379464515
NCR06,OUT018,606.7918558073494
FDU31,OUT027,5853.4485979701385
FDU59,OUT017,2431.5920066324393
FDR03,OUT027,5853.4485979701385
FDS49,OUT027,1970.3899000848135
FDD48,OUT010,268.76794577966217
NCF18,OUT017,3004.584248344171
NCD43,OUT027,2841.601877300116
NCD54,OUT018,2067.7739753984815
FDY19,OUT010,268.3096172848722
NCY54,OUT017,2780.160969279934
NCL19,OUT018,2471.9946584160148
FDP23,OUT010,572.5850623328656
FDC26,OUT013,1663.346169752407
FDR14,OUT010,131.3137370995446
NCS41,OUT035,3110.360169789906
FDF41,OUT035,3845.4639569306014
FDU34,OUT046,2076.2869771319333
DRH11,OUT046,968.9808026749097
FDM03,OUT013,1610.305155971933
FDS31,OUT017,3045.8741505413545
FDJ20,OUT017,1961.4993999279518
FDV44,OUT027,5274.172068116978
FDG02,OUT049,3243.033590241984
FDA09,OUT013,3049.1625761891464
FDT04,OUT013,719.4903453989216
FDL58,OUT019,573.6508686023625
FDE52,OUT045,1374.0655440049072
FDW12,OUT035,2407.7728464302977
FDL51,OUT017,3746.0649086603644
NCY42,OUT027,2970.648519977766
FDR07,OUT017,1555.4362124667286
FDN40,OUT045,2352.370536606224
FDB35,OUT027,2690.993620307456
FDA22,OUT017,2476.921716527405
NCL06,OUT046,4034.570514691624
FDI35,OUT013,3181.0076072174393
NCW42,OUT045,3711.1311603757595
NCX06,OUT049,2950.8031370019053
FDC37,OUT027,2885.1336708062627
FDZ14,OUT018,1868.6167065486684
DRG49,OUT049,3816.680158132195
NCG06,OUT045,4023.4913060695126
DRC36,OUT045,2935.1748869486437
FDV21,OUT019,278.72322322570074
FDB53,OUT046,2607.4293824697206
DRP47,OUT019,573.6508686023625
FDA14,OUT013,2420.3531996793895
DRC24,OUT035,2593.1270430091668
FDW21,OUT018,1621.4920032876375
NCH29,OUT046,1589.1763492034745
FDU58,OUT013,3225.4688725481496
FDY27,OUT017,2831.6622879174192
FDV56,OUT035,1654.356030611762
FDT59,OUT046,3905.0775837868273
FDB23,OUT046,3807.815907749613
FDR49,OUT045,764.6541707509116
FDB03,OUT010,573.5397168668891
FDN39,OUT045,2715.4477783881653
FDX02,OUT027,5853.4485979701385
FDQ16,OUT027,2878.8127803477387
FDU35,OUT018,1534.5608806402463
NCT29,OUT013,1970.082713608965
FDZ27,OUT046,799.1150041018254
FDN57,OUT017,1972.8414311459574
FDA03,OUT018,2383.7577695468462
FDZ36,OUT045,3194.3256804349285
NCU05,OUT013,1379.8835520190107
FDT39,OUT018,2395.0502212626543
FDK60,OUT017,1566.4650172988904
FDZ25,OUT017,2883.7221220948454
FDG12,OUT046,2121.2868161065107
DRB01,OUT019,508.53238832447556
NCC43,OUT027,5853.4485979701385
FDX13,OUT019,574.8195143765524
FDM22,OUT049,866.6455347372289
FDJ03,OUT027,1057.7952818180604
FDU14,OUT018,3943.694199206856
FDB33,OUT010,379.4067458597022
FDP27,OUT046,3228.189650766112
FDO38,OUT010,154.49523507538268
FDE28,OUT027,5853.4485979701385
FDO27,OUT035,1592.5373203325266
DRL23,OUT027,2872.167590691204
FDS28,OUT046,966.8225818915929
FDX24,OUT013,1419.677907532928
FDZ02,OUT035,1579.8106839712711
FDL46,OUT045,1835.9092275726289
FDS60,OUT027,4702.32543910871
NCO06,OUT017,578.7633351480888
FDO16,OUT035,1377.6743954110034
FDC60,OUT049,1358.045358822497
FDA48,OUT018,3471.0721441862183
FDZ36,OUT027,5274.172068116978
FDK27,OUT045,2064.2457981825605
FDW23,OUT018,592.7894995188693
FDM14,OUT018,1617.0441211568898
FDM14,OUT013,1597.3002883844142
FDW60,OUT018,2775.3469556853356
FDE21,OUT013,2062.245237140583
NCM42,OUT035,1705.3637205866514
FDY59,OUT010,226.15757888690845
DRI49,OUT049,1266.3726052332966
FDT28,OUT019,370.9868009773389
FDQ22,OUT018,595.3271550761121
FDR60,OUT049,1235.1943325356801
FDC50,OUT019,233.25922349893253
FDV24,OUT013,2319.0170741451175
DRF48,OUT010,497.5233433662373
FDQ47,OUT046,633.748761111774
DRN36,OUT049,1565.1649093410292
NCY06,OUT035,1962.6151295090194
FDE52,OUT035,1372.2446821727779
NCB54,OUT045,1929.4888388568588
NCF31,OUT035,2376.6581620620245
FDJ08,OUT027,5274.172068116978
NCC07,OUT017,1638.3095474276865
NCD19,OUT027,1274.6241764417632
FDL46,OUT049,1996.9264342205297
FDM20,OUT045,4041.10180246466
NCI06,OUT010,453.30600482367686
DRM11,OUT035,4244.111096636448
NCH07,OUT018,2497.0355760202224
FDS23,OUT013,2080.9317837289545
FDO49,OUT018,744.2720777610016
FDS35,OUT049,1061.9868356929303
DRK39,OUT045,1371.5913326403568
DRI39,OUT049,901.5780146156862
FDV04,OUT017,2408.209833098883
NCN14,OUT035,3029.4293797489004
FDH08,OUT013,3874.479790611269
FDS20,OUT046,3227.181068255316
FDV40,OUT049,1142.096327555317
FDZ48,OUT010,257.53264076667807
FDS24,OUT027,2568.564673914794
FDK44,OUT049,2792.2981421931495
FDS48,OUT045,2592.8802232423977
FDK26,OUT010,499.16240505640667
FDD23,OUT045,3166.0132216945935
NCH54,OUT017,2678.015711450156
NCP14,OUT010,244.79743598701282
FDM60,OUT010,131.3137370995446
FDV24,OUT017,2368.212858947862
FDH08,OUT018,3624.317427716047
FDS12,OUT027,2955.4498373906904
FDR39,OUT027,4832.007643472008
FDP12,OUT027,985.4118393353641
DRF60,OUT027,5853.4485979701385
FDC09,OUT035,1672.707938166749
FDF50,OUT018,3031.776056397575
FDG28,OUT035,3989.9134380349406
NCE19,OUT017,866.0363355454393
NCM53,OUT010,253.33083515273006
NCN18,OUT049,1694.7250344428367
FDF32,OUT035,3097.050198621283
FDF11,OUT013,3848.501069418042
DRI59,OUT049,3858.524997453812
NCG54,OUT035,2817.9207254805306
FDM44,OUT046,1657.9110488310473
FDT57,OUT018,3590.005786989156
FDV24,OUT046,2370.630012519964
FDI50,OUT019,573.9809270730572
FDS09,OUT035,772.6031712392773
NCC31,OUT027,4140.133183173315
FDQ07,OUT019,574.3112411758623
FDC22,OUT017,3202.770126682916
FDZ56,OUT046,2870.2612138341483
FDZ40,OUT019,131.3137370995446
FDS46,OUT027,2930.6627361131787
DRD24,OUT045,2068.8458600575173
FDV45,OUT017,3112.745956382869
FDL26,OUT045,2550.259778079405
FDA56,OUT018,2005.8678154702156
FDN27,OUT046,2025.401318211544
FDM20,OUT049,4056.737165270415
FDO16,OUT017,1358.2873349184551
FDL03,OUT035,2887.0887593142934
FDE58,OUT046,1967.5747691345387
FDI02,OUT027,2920.9603061028292
NCC55,OUT019,131.3137370995446
FDR03,OUT018,3252.7309588665457
FDB14,OUT017,1434.2825349469806
FDR45,OUT013,3843.7181964860065
NCN07,OUT017,2045.6059863822406
FDM51,OUT019,252.325639762098
FDT52,OUT027,5853.4485979701385
FDL26,OUT046,2526.337596997663
NCZ42,OUT046,3852.1005487580537
DRI47,OUT019,369.6714542327746
FDW40,OUT013,2120.046497705812
FDN34,OUT046,2954.7148615651713
FDS01,OUT035,2916.4422467555014
NCG55,OUT045,1917.4499010149425
FDC11,OUT035,1348.2995799356563
FDX35,OUT018,3542.46041278076
NCB06,OUT046,2623.2915532701422
FDR09,OUT019,573.6508686023625
FDC53,OUT017,1550.4291898327633
FDY45,OUT013,4047.988934694303
FDA22,OUT010,379.6998164540413
FDE02,OUT035,1576.9385168734557
FDW21,OUT045,1701.3344840091574
FDV34,OUT046,1198.9182197855291
FDS59,OUT049,1685.413497479176
NCW17,OUT017,2143.717659441913
NCK54,OUT046,2026.0005913363711
FDG17,OUT019,573.9809270730572
FDG35,OUT017,2899.0725987862156
FDD08,OUT010,131.3137370995446
NCO07,OUT017,3644.924919977673
FDJ10,OUT010,274.57481921678965
FDW36,OUT017,1667.5126261131913
FDW21,OUT010,245.01071556854333
FDY19,OUT017,1892.0859918409644
DRE03,OUT013,841.6472769312829
NCC55,OUT049,632.7179440522181
FDH52,OUT010,135.68352607428602
FDO09,OUT017,3924.0870655547897
FDU43,OUT045,3970.5056949264904
FDX09,OUT010,419.22580797486995
FDH40,OUT019,201.78937928060546
FDW58,OUT017,1645.0277130215022
FDC47,OUT017,3718.8892038502418
NCR41,OUT035,1505.7693935297063
DRG49,OUT035,3803.5713710319683
FDC52,OUT027,4140.133183173315
FDY13,OUT046,1225.6060059456402
FDY35,OUT013,747.7445090450689
FDI35,OUT017,3235.3585884333297
NCU18,OUT049,2130.087180607726
FDY33,OUT018,2535.3435254319093
FDC15,OUT027,4167.504544370139
FDU01,OUT049,3007.888790436942
NCU42,OUT046,2898.9294001062976
NCV29,OUT018,2793.2756167083908
NCY30,OUT017,2960.1673189747435
FDQ46,OUT049,1722.0652956835913
FDG58,OUT027,4140.133183173315
FDK33,OUT017,3671.838473259413
NCD07,OUT045,1840.7728198790508
NCX29,OUT027,4101.533938935843
NCT42,OUT013,2404.397257956824
DRN59,OUT035,752.5039730399992
FDI44,OUT035,1254.694388824723
FDA45,OUT049,2793.035218282467
FDP31,OUT045,1068.048055036292
FDY01,OUT046,1954.6809821456052
FDT09,OUT018,2070.2154738177182
DRH03,OUT027,2828.383149673852
FDA36,OUT018,3026.7012939582582
NCF31,OUT017,2365.483533541226
FDG14,OUT049,2388.5648706402335
FDG28,OUT027,5853.4485979701385
FDU14,OUT049,4242.595503286339
FDY47,OUT019,279.34128411487677
FDI56,OUT049,1388.996683189631
DRD01,OUT013,1064.3907817840604
FDM22,OUT046,985.9489648154599
FDH33,OUT013,740.9681929920096
DRZ24,OUT013,1925.2890361257428
NCQ38,OUT046,1641.7214833629835
FDO16,OUT027,2333.537887070708
FDU07,OUT027,4114.467849953909
NCB07,OUT013,2948.6545934617543
FDU48,OUT045,1963.4829379911419
NCM43,OUT045,2810.612791518313
FDR31,OUT010,367.9355435755313
DRK49,OUT018,598.5673578377239
NCI30,OUT010,573.3876174940793
DRD60,OUT017,3155.158094638983
NCG19,OUT046,3665.1385199971883
FDH12,OUT035,1671.0488396822518
FDM32,OUT035,1426.4874080118345
FDM27,OUT035,2629.9234885729966
NCU53,OUT027,4234.623303381539
NCQ18,OUT046,1573.9772635189602
FDS10,OUT013,2833.8651594538032
FDB33,OUT027,4167.504544370139
FDI12,OUT013,1399.7370532483558
NCW42,OUT013,3691.276712203823
NCC06,OUT018,2059.8065530754775
FDW02,OUT017,1971.366544335582
NCD43,OUT017,1700.4694532512842
FDM57,OUT018,1319.2133597619081
FDA58,OUT017,3689.0795392176283
FDK56,OUT046,3238.509399732223
FDP52,OUT045,3848.584293061084
FDW20,OUT018,2063.560239464198
FDS52,OUT049,1602.2781275450088
NCT29,OUT018,1842.7725216366352
NCL54,OUT013,2869.1313035904295
FDC05,OUT045,3076.3908143437134
FDF34,OUT035,3090.0237659572226
FDP03,OUT027,2947.3692572890445
FDD32,OUT010,194.91365106374346
FDZ10,OUT045,2042.3373361599306
FDZ40,OUT035,859.3969277286702
FDD51,OUT018,618.8518791429632
NCY30,OUT019,425.8236300137007
FDP58,OUT017,3601.8654839176584
FDV49,OUT017,4303.931752870873
FDY24,OUT019,131.3137370995446
NCO55,OUT017,1644.0404005850476
FDR13,OUT017,1930.209411188769
FDS51,OUT017,1014.9351111354217
FDP26,OUT045,1651.7754045854556
NCB54,OUT027,2955.4498373906904
FDF32,OUT017,3037.782704868051
FDN31,OUT018,2986.2972728739933
DRM48,OUT017,578.7633351480888
FDN20,OUT049,2815.4330116224696
DRL01,OUT046,3842.415456640787
FDV56,OUT049,1622.6381765967883
DRH13,OUT027,2878.8127803477387
FDA03,OUT017,2499.248311961282
FDF47,OUT027,5853.4485979701385
FDX32,OUT046,2640.5932350223025
FDX57,OUT049,1554.4217904840739
NCA30,OUT045,2965.0804470887592
FDO49,OUT013,845.775257642545
FDL04,OUT019,250.62409712961343
DRM48,OUT035,584.831345293142
FDR16,OUT013,3558.3644426864175
NCC19,OUT018,3026.6163723049085
NCE42,OUT045,3876.8267403714976
FDY24,OUT017,863.3629922081991
FDH19,OUT049,2776.7918891533773
FDJ46,OUT013,2900.3847743421184
FDN45,OUT010,572.8793442933892
FDY08,OUT035,2039.5061509322682
FDZ37,OUT035,1385.63391019787
NCT30,OUT045,772.9225567575323
DRY23,OUT018,613.3598184158577
NCZ30,OUT018,1987.7187340278363
FDC44,OUT018,1783.3196814355979
FDB45,OUT035,1625.9760387348617
FDY04,OUT013,2524.4785900142633
FDM27,OUT046,2676.851751131183
FDZ43,OUT017,3938.9309561169703
FDT39,OUT019,370.0081118606694
NCC06,OUT019,279.59401480663576
FDL15,OUT027,4140.133183173315
FDL57,OUT017,4042.8639089498097
FDU08,OUT046,1554.142184038974
FDK40,OUT017,4284.812942413
FDQ12,OUT010,573.209402764084
FDS48,OUT017,2577.8875905833647
FDP09,OUT045,3622.6867461151637
FDW21,OUT049,1564.6079259153503
FDY25,OUT035,3138.595017557593
DRE13,OUT017,1399.477899431533
FDV43,OUT019,131.3137370995446
FDD22,OUT045,1687.406332760866
FDM46,OUT019,233.13430367750294
NCO30,OUT010,476.537640922641
FDM25,OUT046,2864.215178978985
NCN41,OUT049,2035.5528993653706
FDU24,OUT045,1483.8431225700303
FDZ50,OUT046,3271.0610986789507
FDP45,OUT013,3993.8877135699295
NCM54,OUT045,1955.605487239175
FDW10,OUT019,419.9973322838432
FDP20,OUT017,1976.061906847449
FDK32,OUT046,2597.097665379668
FDN52,OUT049,1343.6754467797134
FDM58,OUT045,1729.6061941070468
FDZ46,OUT027,2920.9603061028292
NCA18,OUT018,1789.0558148332661
FDD35,OUT046,2143.6854567991995
NCK31,OUT035,765.87581361573
FDI40,OUT027,2841.601877300116
FDT50,OUT019,237.02005341516534
NCT06,OUT046,2717.0943677099513
FDT31,OUT035,2938.549155032307
FDT45,OUT049,859.5201085540045
FDT13,OUT045,3130.8528912884904
FDO50,OUT045,1372.1766136877684
NCU18,OUT010,274.11649072199964
NCR54,OUT049,3083.8252899083836
NCO18,OUT018,2838.4105909464097
FDU09,OUT045,870.3087072604052
FDT13,OUT018,3015.5800948565034
FDE09,OUT046,1753.6492634088916
NCK53,OUT019,251.86731126730797
FDG45,OUT049,3698.498204827694
DRH15,OUT035,674.8205583869063
FDO21,OUT019,573.3205544995574
FDD14,OUT027,5274.172068116978
FDC09,OUT046,1669.0890197984552
FDH45,OUT027,997.2908515951631
FDV32,OUT046,1163.4221014856926
FDG12,OUT035,2019.2878542713695
FDS32,OUT013,2135.2684568408895
NCL55,OUT018,3719.935155954438
DRE01,OUT035,3728.3459433158
DRE15,OUT049,1233.352829972634
NCL42,OUT045,3901.54361507962
FDP31,OUT013,1244.6774883761493
FDN33,OUT018,1449.3038860741924
FDZ59,OUT046,2465.8977091762235
FDE45,OUT010,424.72630358860494
FDJ07,OUT013,2033.8398255020575
FDQ45,OUT018,3091.0619736577933
FDM33,OUT027,5853.4485979701385
FDO15,OUT010,148.39320984764638
FDM46,OUT013,1461.857922738
FDR03,OUT045,3390.824017508325
FDY49,OUT018,2672.953583943627
FDQ60,OUT045,1905.3355206046647
FDW10,OUT049,2779.603436350956
FDO51,OUT049,686.624149623826
FDJ40,OUT018,1613.1611223756036
FDS20,OUT018,3002.324728903668
FDU45,OUT013,1815.653739287329
